1, private, profundis:amethyst_caves, MONSTER, minecraft:spider, 80, 4, 4
2, private, profundis:amethyst_caves, MONSTER, minecraft:zombie, 80, 4, 4
3, private, profundis:amethyst_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, private, profundis:amethyst_caves, MONSTER, minecraft:skeleton, 80, 4, 4
5, private, profundis:amethyst_caves, MONSTER, minecraft:creeper, 80, 4, 4
6, private, profundis:amethyst_caves, MONSTER, minecraft:slime, 80, 4, 4
7, private, profundis:amethyst_caves, MONSTER, minecraft:enderman, 10, 1, 4
8, private, profundis:amethyst_caves, MONSTER, minecraft:witch, 5, 1, 1
9, private, profundis:amethyst_caves, MONSTER, mythicmobs:chupacabra, 20, 1, 1
10, private, profundis:amethyst_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
11, private, profundis:amethyst_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
12, private, profundis:amethyst_caves, CREATURE, mythicmobs:drake, 5, 1, 4
13, private, profundis:amethyst_caves, CREATURE, mythicmobs:kobold, 10, 3, 6
14, private, profundis:amethyst_caves, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
15, private, profundis:amethyst_caves, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
16, private, profundis:amethyst_caves, AMBIENT, minecraft:bat, 10, 8, 8
17, private, profundis:amethyst_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
18, private, profundis:amethyst_caves, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
19, private, profundis:amethyst_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
20, private, far_end:amethyst_forest, MONSTER, minecraft:enderman, 33, 4, 4
21, private, profundis:arid_caves, MONSTER, minecraft:spider, 80, 4, 4
22, private, profundis:arid_caves, MONSTER, minecraft:zombie, 80, 4, 4
23, private, profundis:arid_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
24, private, profundis:arid_caves, MONSTER, minecraft:skeleton, 80, 4, 4
25, private, profundis:arid_caves, MONSTER, minecraft:creeper, 80, 4, 4
26, private, profundis:arid_caves, MONSTER, minecraft:slime, 80, 4, 4
27, private, profundis:arid_caves, MONSTER, minecraft:enderman, 10, 1, 4
28, private, profundis:arid_caves, MONSTER, minecraft:witch, 5, 1, 1
29, private, profundis:arid_caves, MONSTER, mythicmobs:chupacabra, 20, 1, 1
30, private, profundis:arid_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
31, private, profundis:arid_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
32, private, profundis:arid_caves, CREATURE, mythicmobs:drake, 5, 1, 4
33, private, profundis:arid_caves, CREATURE, mythicmobs:kobold, 10, 3, 6
34, private, profundis:arid_caves, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
35, private, profundis:arid_caves, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
36, private, profundis:arid_caves, AMBIENT, minecraft:bat, 10, 8, 8
37, private, profundis:arid_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
38, private, profundis:arid_caves, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
