1, private, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
2, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
3, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, private, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
5, private, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 80, 4, 4
6, private, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
7, private, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 10, 1, 4
8, private, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
9, private, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
10, private, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
11, private, regions_unexplored:alpha_grove, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
12, private, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
13, private, far_end:amethyst_forest, MONSTER, minecraft:enderman, 33, 4, 4
14, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:spider, 80, 4, 4
15, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie, 19, 4, 4
16, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie_villager, 5, 1, 1
17, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:skeleton, 80, 4, 4
18, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:creeper, 80, 4, 4
19, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:slime, 80, 4, 4
20, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:enderman, 10, 1, 4
21, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:witch, 5, 1, 1
22, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:husk, 80, 4, 4
23, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:nightmare, 10, 1, 1
24, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
25, badlands, regions_unexplored:arid_mountains, CREATURE, minecraft:rabbit, 5, 2, 3
26, badlands, regions_unexplored:arid_mountains, AMBIENT, minecraft:bat, 10, 8, 8
27, badlands, regions_unexplored:arid_mountains, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
28, badlands, regions_unexplored:arid_mountains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
29, nether, incendium:ash_barrens, MONSTER, minecraft:ghast, 20, 1, 1
30, nether, incendium:ash_barrens, MONSTER, minecraft:magma_cube, 80, 2, 7
31, nether, incendium:ash_barrens, MONSTER, minecraft:piglin, 80, 1, 1
32, nether, incendium:ash_barrens, MONSTER, minecraft:zombified_piglin, 5, 1, 4
33, nether, incendium:ash_barrens, CREATURE, minecraft:strider, 60, 1, 2
34, private, far_end:ashfall_delta, MONSTER, minecraft:wither_skeleton, 7, 1, 2
35, private, far_end:ashfall_delta, MONSTER, minecraft:skeleton, 11, 2, 2
36, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:spider, 80, 4, 4
37, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie, 80, 4, 4
38, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
39, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:skeleton, 80, 4, 4
40, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:creeper, 80, 4, 4
41, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:slime, 80, 4, 4
42, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:enderman, 10, 1, 4
43, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:witch, 5, 1, 1
44, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:ghoul, 25, 2, 5
45, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:revenant, 25, 5, 8
46, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
47, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:wolf, 5, 4, 4
48, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:sheep, 12, 4, 4
49, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:pig, 10, 4, 4
50, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:chicken, 10, 4, 4
51, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:cow, 8, 4, 4
52, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, minecraft:bat, 10, 8, 8
53, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
54, forest, regions_unexplored:autumnal_maple_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
55, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
56, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
57, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
58, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
59, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
60, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
61, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 10, 1, 4
62, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
63, badlands, minecraft:badlands, MONSTER, graveyard:nightmare, 10, 1, 1
64, badlands, minecraft:badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
65, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
66, badlands, minecraft:badlands, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
67, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
68, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:spider, 80, 4, 4
69, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie, 80, 4, 4
70, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
71, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:skeleton, 80, 4, 4
72, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:creeper, 80, 4, 4
73, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:slime, 80, 4, 4
74, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:enderman, 10, 1, 4
75, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:witch, 5, 1, 1
76, jungle, regions_unexplored:bamboo_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
77, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:sheep, 12, 4, 4
78, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:pig, 10, 4, 4
79, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:chicken, 10, 4, 4
80, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:cow, 8, 4, 4
81, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:chicken, 10, 4, 4
82, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:panda, 80, 1, 2
83, jungle, regions_unexplored:bamboo_forest, AMBIENT, minecraft:bat, 10, 8, 8
84, jungle, regions_unexplored:bamboo_forest, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
85, jungle, regions_unexplored:bamboo_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
86, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
87, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
88, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
89, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
90, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
91, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
92, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
93, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
94, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
95, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
96, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
97, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
98, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
99, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 8, 4, 4
100, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
101, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
102, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
103, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
104, jungle, minecraft:bamboo_jungle, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
105, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
106, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:spider, 80, 4, 4
107, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:zombie, 80, 4, 4
108, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:zombie_villager, 5, 1, 1
109, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:skeleton, 80, 4, 4
110, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:creeper, 80, 4, 4
111, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:slime, 80, 4, 4
112, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:enderman, 10, 1, 4
113, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:witch, 5, 1, 1
114, private, regions_unexplored:baobab_savanna, MONSTER, graveyard:nightmare, 10, 1, 1
