1, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
2, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
3, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
4, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
5, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
6, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
7, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
8, towns_and_towers:village_badlands, HEADING, header:ignore, 0, 0, 0
9, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
10, hopo:oak_mineshaft, HEADING, header:ignore, 0, 0, 0
11, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
12, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
13, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
14, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
15, soulsweapons:corrupt_altar, HEADING, header:ignore, 0, 0, 0
16, deeper_dark:sculk_trap, HEADING, header:ignore, 0, 0, 0
17, hopo:spruce_mineshaft, HEADING, header:ignore, 0, 0, 0
18, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
19, incendium:sanctum, HEADING, header:ignore, 0, 0, 0
20, incendium:sanctum, MONSTER, minecraft:skeleton, 20, 1, 1
21, towns_and_towers:village_old_growth_taiga, HEADING, header:ignore, 0, 0, 0
22, towns_and_towers:pillager_outpost_jungle, HEADING, header:ignore, 0, 0, 0
23, towns_and_towers:pillager_outpost_jungle, MONSTER, minecraft:pillager, 5, 1, 2
24, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
25, betterarcheology:desert_obelisk, HEADING, header:ignore, 0, 0, 0
26, incendium:ruined_lab, HEADING, header:ignore, 0, 0, 0
27, betterarcheology:mesa_ruins, HEADING, header:ignore, 0, 0, 0
28, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
29, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 2
30, towns_and_towers:pillager_outpost_sparse_jungle, HEADING, header:ignore, 0, 0, 0
31, towns_and_towers:pillager_outpost_sparse_jungle, MONSTER, minecraft:pillager, 5, 1, 2
32, hopo:mangrove_mineshaft, HEADING, header:ignore, 0, 0, 0
33, towns_and_towers:village_wooded_badlands, HEADING, header:ignore, 0, 0, 0
34, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
35, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
36, wilderwild:abandoned_cabin, HEADING, header:ignore, 0, 0, 0
37, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
38, forgero:medium_forging_house_savanna, HEADING, header:ignore, 0, 0, 0
39, betterarcheology:villager_grave, HEADING, header:ignore, 0, 0, 0
40, towns_and_towers:pillager_outpost_sunflower_plains, HEADING, header:ignore, 0, 0, 0
41, towns_and_towers:pillager_outpost_sunflower_plains, MONSTER, minecraft:pillager, 5, 1, 2
42, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
43, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 5, 1, 2
44, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
45, betterarcheology:buried_ruins_sand, HEADING, header:ignore, 0, 0, 0
46, towns_and_towers:village_birch_forest, HEADING, header:ignore, 0, 0, 0
47, towns_and_towers:pillager_outpost_grove, HEADING, header:ignore, 0, 0, 0
48, towns_and_towers:pillager_outpost_grove, MONSTER, minecraft:pillager, 5, 1, 2
49, towns_and_towers:village_sparse_jungle, HEADING, header:ignore, 0, 0, 0
50, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
51, adv:normal_zombie_dungeon, HEADING, header:ignore, 0, 0, 0
52, betterarcheology:fossil_jungle_1, HEADING, header:ignore, 0, 0, 0
53, imst:mine/basalt_mine, HEADING, header:ignore, 0, 0, 0
54, dungeons_arise:greenwood_pub, HEADING, header:ignore, 0, 0, 0
55, forgero:small_forging_house_plains, HEADING, header:ignore, 0, 0, 0
56, stellarity:return_gateways/snowy_flying, HEADING, header:ignore, 0, 0, 0
57, hopo:cherry_mineshaft, HEADING, header:ignore, 0, 0, 0
58, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
59, towns_and_towers:pillager_outpost_beach, HEADING, header:ignore, 0, 0, 0
60, towns_and_towers:pillager_outpost_beach, MONSTER, minecraft:pillager, 5, 1, 2
61, hopo:dark_oak_mineshaft, HEADING, header:ignore, 0, 0, 0
62, towns_and_towers:village_swamp, HEADING, header:ignore, 0, 0, 0
63, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
64, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
65, hopo:portal_lush, HEADING, header:ignore, 0, 0, 0
66, betterarcheology:underwater_2, HEADING, header:ignore, 0, 0, 0
67, forgero:medium_smithing_house_deepslate, HEADING, header:ignore, 0, 0, 0
68, dungeons_arise:small_prairie_house, HEADING, header:ignore, 0, 0, 0
69, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
70, bakery:oat_field, HEADING, header:ignore, 0, 0, 0
71, bakery:oat_field, CREATURE, minecraft:pig, 5, 1, 4
72, soulsweapons:cathedral_of_resurrection, HEADING, header:ignore, 0, 0, 0
73, soulsweapons:cathedral_of_resurrection, MONSTER, soulsweapons:dark_sorcerer, 80, 1, 4
74, hopo:portal_dripstone, HEADING, header:ignore, 0, 0, 0
75, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
76, towns_and_towers:pillager_outpost_forest, HEADING, header:ignore, 0, 0, 0
77, towns_and_towers:pillager_outpost_forest, MONSTER, minecraft:pillager, 5, 1, 2
78, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
79, towns_and_towers:exclusives/pillager_outpost_rustic, MONSTER, minecraft:pillager, 5, 1, 2
80, hopo:portal_deepslate, HEADING, header:ignore, 0, 0, 0
81, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
82, towns_and_towers:village_beach, HEADING, header:ignore, 0, 0, 0
83, deeper_dark:deeper_dark_ancient_city, HEADING, header:ignore, 0, 0, 0
84, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
85, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
86, towns_and_towers:pillager_outpost_snowy_plains, HEADING, header:ignore, 0, 0, 0
87, towns_and_towers:pillager_outpost_snowy_plains, MONSTER, minecraft:pillager, 5, 1, 2
88, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
89, towns_and_towers:pillager_outpost_mushroom_fields, HEADING, header:ignore, 0, 0, 0
90, hopo:jungle_mineshaft, HEADING, header:ignore, 0, 0, 0
91, towns_and_towers:village_grove, HEADING, header:ignore, 0, 0, 0
92, betterarcheology:ruins_sand, HEADING, header:ignore, 0, 0, 0
93, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
94, towns_and_towers:pillager_outpost_snowy_slopes, HEADING, header:ignore, 0, 0, 0
